Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp "
107.7378376,27.65914772,32.13939,-0.01079,-0.018949019,0.00191,0.05593112,-0.00940118,0.00398,0.01908,-0.23616,0,-4.705858793,7.73824426,259.3080056,-1.697964794,-0.085001712,251.3998675,-3.652123153,-0.092919727,2339.936613,0,103306.0999,0.68235,87.76369613
107.7056672,27.65637644,32.1394,-0.01079,-0.020223648,0.00191,0.055821309,-0.010563648,0.004000374,0.01908,-0.23616,0,-4.71613602,7.661352053,259.4241863,-1.696947943,-0.081287557,251.5324489,-3.665747898,-0.09008924,2338.779764,0,103324.1871,0.68627,88.65052834
107.6746495,27.65390203,32.1394,-0.010742262,-0.020885548,0.00191,0.055938484,-0.011226294,0.004022984,0.01908,-0.23616,0,-4.726572813,7.585503178,259.5385866,-1.696816877,-0.07780189,251.6633269,-3.678555865,-0.086640422,2337.625523,0,103342.17,0.68627,88.65738372
107.6443422,27.65112509,32.13940189,-0.010270653,-0.02021,0.00191,0.056413692,-0.010558115,0.004067541,0.01908,-0.23616,0,-4.736746755,7.507752107,259.6526884,-1.696520574,-0.074814683,251.7946086,-3.69131412,-0.082639529,2336.454917,0,103360.3331,0.68627,88.66619006
107.614787,27.64856701,32.13941244,-0.01079,-0.020930926,0.00191,0.055879742,-0.01122465,0.004109742,0.01908,-0.23616,0,-4.746621773,7.428359643,259.7651075,-1.696482436,-0.07272415,251.9248715,-3.703551579,-0.078405634,2335.280773,0,103378.486,0.68531526,88.4556001
107.5859,27.64571043,32.13942,-0.01079,-0.023754507,0.00191,0.05590618,-0.01381664,0.004155281,0.01908,-0.23616,0,-4.75635412,7.341739379,259.8755768,-1.696425055,-0.071420782,252.0536764,-3.715725376,-0.074100752,2334.103671,0,103396.627,0.68235,87.79136316
107.5579205,27.64317469,32.13942,-0.01079,-0.025389837,0.00191,0.055895578,-0.015252351,0.004193266,0.01908,-0.23616,0,-4.765593958,7.247722227,259.9829684,-1.696196183,-0.07085543,252.1792838,-3.727547558,-0.069858471,2332.94043,0,103414.5106,0.68235,87.79393892
107.5307542,27.64043528,32.13942537,-0.01079,-0.025421925,0.00191,0.05589,-0.015233414,0.004231489,0.01908,-0.23616,0,-4.774432448,7.150483986,260.0886469,-1.695948671,-0.070454204,252.3030771,-3.738900466,-0.065740769,2331.776229,0,103432.3451,0.684455932,88.27370105
107.5042027,27.63774767,32.13943,-0.01079,-0.02569709,0.00191,0.05589,-0.015469566,0.004269175,0.01908,-0.23616,0,-4.783096277,7.050170322,260.1948217,-1.695735776,-0.070089902,252.427495,-3.750008822,-0.061753763,2330.588039,0,103450.4936,0.68627,88.69082307
107.479733,27.63520107,32.13943,-0.01079,-0.02626,0.00191,0.05589,-0.016,0.004300068,0.01908,-0.23616,0,-4.791090853,6.953104283,260.2953154,-1.695552972,-0.06960547,252.545073,-3.760225661,-0.058118697,2329.447418,0,103467.8667,0.683647817,88.10520013
107.4539168,27.63251831,32.13943,-0.01079,-0.027411784,0.00191,0.05589,-0.017086589,0.004324488,0.01908,-0.23616,0,-4.799447895,6.846705464,260.4031733,-1.695369609,-0.06885773,252.6709681,-3.77086707,-0.054363919,2328.206052,0,103486.7132,0.68235,87.81764684
107.4296141,27.62981275,32.13943,-0.01079,-0.029022296,0.00191,0.055875527,-0.018534805,0.004351709,0.01908,-0.23616,0,-4.807164133,6.737465645,260.5063549,-1.695052253,-0.067851233,252.7908332,-3.780805086,-0.05081108,2327.003839,0,103504.9238,0.68235,87.82056346
107.4060958,27.62695302,32.1394376,-0.010303744,-0.028239165,0.00191,0.056249887,-0.017775142,0.004382793,0.01908,-0.23616,0,-4.813593118,6.628056888,260.6077432,-1.693878718,-0.066357154,252.9079951,-3.790132443,-0.047216375,2325.80916,0,103522.978,0.68235,87.82340932
107.3836735,27.62434722,32.13944,-0.010628223,-0.029060503,0.00191,0.055831999,-0.018560725,0.004404944,0.01908,-0.23616,0,-4.819002482,6.520943154,260.7062099,-1.692800248,-0.064634997,253.0213901,-3.798085709,-0.043685049,2324.633241,0,103540.7131,0.685279118,88.48754545
107.3618432,27.62145523,32.13944807,-0.01079,-0.026880249,0.00191,0.055771016,-0.016473198,0.004442271,0.01908,-0.23616,0,-4.825113843,6.412367862,260.8047978,-1.692977591,-0.062582584,253.1349048,-3.805338247,-0.039905945,2323.437936,0,103558.7014,0.683107438,88.00612171
107.3406025,27.61828874,32.13945,-0.01079,-0.0284313,0.00191,0.055678245,-0.017943073,0.004483821,0.01908,-0.23616,0,-4.830403203,6.302592991,260.9025366,-1.692376526,-0.060427786,253.2472286,-3.812505124,-0.036047602,2322.231362,0,103576.8086,0.68235,87.8394104
107.3192004,27.61574943,32.13945,-0.010382256,-0.02947,0.00191,0.056104195,-0.018885403,0.004519113,0.01908,-0.23616,0,-4.835613723,6.185910675,261.0018904,-1.691969919,-0.058637093,253.3615092,-3.819407436,-0.031937006,2320.985395,0,103595.4799,0.684847429,88.40614677
107.298859,27.61266849,32.13945846,-0.01015,-0.02947,0.00191,0.056303872,-0.018868459,0.004563835,0.01908,-0.23616,0,-4.840097559,6.068596492,261.0984189,-1.691397105,-0.056738156,253.4725004,-3.825595606,-0.02775323,2319.753594,0,103613.9166,0.682954207,87.98549926
107.2795822,27.60991329,32.13946084,-0.010203825,-0.02947,0.00191,0.056312903,-0.01886,0.004604205,0.01908,-0.23616,0,-4.844418736,5.953438563,261.1912954,-1.691403169,-0.055087396,253.5794922,-3.83092051,-0.023599295,2318.542219,0,103632.0231,0.68235,87.85323043
107.2608459,27.6076566,32.13947,-0.010895319,-0.02947,0.00191,0.055727394,-0.01886,0.004653191,0.01908,-0.23616,0,-4.849493936,5.838320372,261.2822831,-1.692495213,-0.053867074,253.6846469,-3.835910106,-0.019456064,2317.328848,0,103650.1327,0.68235,87.85706628
107.2421027,27.60469039,32.13947,-0.011924336,-0.02947,0.00191,0.055075664,-0.01886,0.004695626,0.01908,-0.23616,0,-4.85748892,5.719360716,261.3741742,-1.696005491,-0.052509808,253.7912233,-3.841489555,-0.015244587,2316.073355,0,103668.8416,0.68235,87.86161277
107.2246186,27.60164105,32.13947287,-0.010976616,-0.02947,0.00191,0.055974577,-0.018857129,0.004741484,0.01908,-0.23616,0,-4.863762442,5.604232286,261.4613812,-1.696566741,-0.051208738,253.892048,-3.848514578,-0.011226047,2314.856503,0,103686.9397,0.68235,87.86719207
